id,qname,heading,text,type,diagram,website,updated
,RoadLane,RoadLane,A RoadLane is a type of TravelledWayLane that forms part of a RoadSegment.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoadLane.dot.svg,https://w3id.org/citydata/part3/v1/RoadLane,2026-07-23T17:44:22.205530
,TransportNode,TransportNode,A TransportNode is a NetworkElement that represents a node on the transport network that can be used to designate an end to a link or to join links.,Class,https://w3id.org/citydata/part3/v1/diagrams/TransportNode.dot.svg,https://w3id.org/citydata/part3/v1/TransportNode,2026-07-23T17:44:22.205530
,MicromobilityPath,MicromobilityPath,A MicromobilityPath is a type of Road that is made up of MicromobilityPathLinks.,Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPath.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityPath,2026-07-23T17:44:22.205530
,TravelledWayLane,TravelledWayLane,"A TravelledWayLane is a NetworkElement that is a portion of TravelledWaySegment intended to accommodate a single line of moving material entities (e.g., vehicles) along its length.",Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWayLane.dot.svg,https://w3id.org/citydata/part3/v1/TravelledWayLane,2026-07-23T17:44:22.205530
,RailSection,RailSection,"A RailSection is a type of TravelledWaySection that groups TrackLinks and TrackSegments for a useful operational purpose (e.g., assigning a speed limit, designating a traffic control scheme).",Class,https://w3id.org/citydata/part3/v1/diagrams/RailSection.dot.svg,https://w3id.org/citydata/part3/v1/RailSection,2026-07-23T17:44:22.205530
,FootpathNetwork,FootpathNetwork,A FootpathNetwork is a type of TransportNetwork designed for the use of pedestrians but may be used by others as well.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathNetwork.dot.svg,https://w3id.org/citydata/part3/v1/FootpathNetwork,2026-07-23T17:44:22.205530
,PointOnRoute,PointOnRoute,A PointOnRoute represents an ordered RoutePoint for a PublicTransportRoute.,Class,https://w3id.org/citydata/part3/v1/diagrams/PointOnRoute.dot.svg,https://w3id.org/citydata/part3/v1/PointOnRoute,2026-07-23T17:44:22.205530
,ScheduledCode,ScheduledCode,"The operational status of an entity, e.g., open or closed.",Class,https://w3id.org/citydata/part3/v1/diagrams/ScheduledCode.dot.svg,https://w3id.org/citydata/part3/v1/ScheduledCode,2026-07-23T17:44:22.205530
,TravelledWay,TravelledWay,A TravelledWay is a type of NetworkElement and transinfras:TravelledWay that represents the curvilinear length of a transport route that is identified by a specific designator.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWay.dot.svg,https://w3id.org/citydata/part3/v1/TravelledWay,2026-07-23T17:44:22.205530
,NetworkElement,NetworkElement,A NetworkElement represents any element of a transport network. It can be a part of another NetworkElement and can be decomposed into smaller NetworkElements.,Class,https://w3id.org/citydata/part3/v1/diagrams/NetworkElement.dot.svg,https://w3id.org/citydata/part3/v1/NetworkElement,2026-07-23T17:44:22.205530
